FIPS_STATE,FIPS_COUNTY,FIPS_PLACE
34,15,26340
34,15,49680
34,15,51390
34,15,57150
34,15,59070
34,15,71850
34,15,78110
34,15,80120
34,15,82120
34,15,82180
34,15,17710
34,15,19180
34,15,21060
34,15,24840
34,15,28185
34,15,30180
34,15,41160
34,15,43440
34,15,47250
34,15,69030
34,15,77180
34,15,78800
34,15,82840
34,17,99017
34,17,3580
34,17,19360
34,17,28650
34,17,30210
34,17,32250
34,17,36000
34,17,36510
34,17,66570
34,17,74630
34,17,79610
34,17,52470
34,17,77930
34,19,99019
34,19,6370
34,19,9280
34,19,13720
34,19,23700
34,19,25350
34,19,26550
34,19,29460
34,19,31320
34,19,38610
34,19,39630
34,19,46260
34,19,70980
34,19,550
34,19,5650
34,19,13750
34,19,17170
34,19,18820
34,19,24870
34,19,32460
34,19,37065
34,19,39660
34,19,61920
34,19,62250
34,19,72510
34,19,74420
34,19,78230
34,21,99021
34,21,31620
34,21,33150
34,21,57600
34,21,60900
34,21,74000
34,21,19780
34,21,22185
34,21,29310
34,21,33180
34,21,39510
34,21,63850
34,21,80240
34,23,99023
34,23,10750
34,23,18490
34,23,30840
34,23,31470
34,23,34890
34,23,45690
34,23,45900
34,23,46620
34,23,51210
34,23,58200
34,23,65790
34,23,68550
34,23,69390
34,23,69420
34,23,69810
34,23,15550
34,23,19000
34,23,54705
34,23,47280
34,23,52560
34,23,59010
34,23,59280
34,23,20230
34,23,68790
34,23,82000
34,25,99025
34,25,730
34,25,760
34,25,1960
34,25,2110
34,25,2440
34,25,4930
34,25,6970
34,25,7750
34,25,16660
34,25,19840
34,25,21570
34,25,22440
34,25,22950
34,25,25200
34,25,31500
34,25,34200
34,25,36480
34,25,36810
34,25,40770
34,25,41310
34,25,43050
34,25,44520
34,25,47130
34,25,49920
34,25,73020
34,25,54570
34,25,62430
34,25,64410
34,25,65130
34,25,66240
34,25,66330
34,25,67350
34,25,37560
34,25,70110
34,25,70140
34,25,74540
34,25,79310
34,25,41010
34,25,14560
34,25,25230
34,25,32640
34,25,33300
34,25,42990
34,25,44070
34,25,70
34,25,45990
34,25,46560
34,25,49890
34,25,54270
34,25,30690
34,25,67365
34,25,74900
34,25,76460
34,27,99027
34,27,6610
34,27,9040
34,27,12100
34,27,12580
34,27,18070
34,27,23910
34,27,37110
34,27,40290
34,27,42510
34,27,45330
34,27,48210
34,27,48300
34,27,48480
34,27,48690
34,27,50130
34,27,63300
34,27,64050
34,27,75890
34,27,80390
34,27,6640
34,27,12130
34,27,12610
34,27,17650
34,27,19210
34,27,29550
34,27,29700
34,27,34980
34,27,45360
34,27,46860
34,27,47670
34,27,48090
34,27,49080
34,27,56460
34,27,41362
34,27,58110
34,27,61890
34,27,64080
34,27,64980
34,27,77240
34,29,99029
34,29,3520
34,29,3130
34,29,3940
34,29,4180
34,29,30390
34,29,34530
34,29,37770
34,29,39390
34,29,43380
34,29,54450
34,29,58590
34,29,59880
34,29,59910
34,29,66450
34,29,66480
34,29,67110
34,29,69510
34,29,71640
34,29,74210
34,29,5305
34,29,7420
34,29,73125
34,29,18670
34,29,34680
34,29,37380
34,29,38550
34,29,40560
34,29,41250
34,29,43140
34,29,54300
34,29,59790
34,29,70320
34,29,3050
34,31,99031
34,31,6340
34,31,13690
34,31,29070
34,31,30570
34,31,53040
34,31,56550
34,31,57000
34,31,60090
34,31,61170
34,31,63150
34,31,73140
34,31,76730
34,31,82423
34,31,40620
34,31,77840
34,31,79460
34,33,99033
34,33,21240
34,33,57750
34,33,65490
34,33,82720
34,33,880
34,33,21330
34,33,41640
34,33,57870
34,33,43200
34,33,54810
34,33,58530
34,33,59130
34,33,61470
34,33,10610
34,33,75110
34,35,99035
34,35,5590
34,35,6790
34,35,22890
34,35,43620
34,35,46590
34,35,53280
34,35,57300
34,35,61980
34,35,64320
34,35,68460
34,35,68730
34,35,77600
34,35,4450
34,35,5560
34,35,7180
34,35,7720
34,35,24900
34,35,27510
34,35,31890
34,35,47580
34,35,76940
34,37,99037
34,37,1330
34,37,7300
34,37,24930
34,37,29220
34,37,32910
34,37,51930
34,37,54660
34,37,70380
34,37,71670
34,37,1360
34,37,9160
34,37,24810
34,37,25140
34,37,27420
34,37,29490
34,37,29850
34,37,37440
34,37,47430
34,37,65700
34,37,69690
34,37,70890
34,37,75740
34,37,76640
34,37,76790
34,39,99039
34,39,21000
34,39,22860
34,39,25800
34,39,36690
34,39,40350
34,39,48510
34,39,51810
34,39,59190
34,39,61530
34,39,64620
34,39,64650
34,39,71430
34,39,79040
34,39,5320
34,39,13150
34,39,15640
34,39,31980
34,39,66060
34,39,70020
34,39,74480
34,39,81650
34,41,99041
34,41,1030
34,41,4990
34,41,28710
34,41,58350
34,41,77270
34,41,670
34,41,6160
34,41,24960
34,41,25320
34,41,28260
34,41,29820
34,41,30090
34,41,33060
34,41,33930
34,41,37320
34,41,40110
34,41,41490
34,41,43320
34,41,55530
34,41,59820
